bronx_pace_bkt,pace_diff_bkt,runners,bronx_pace_bkt_1,p10,p50,p90
08:30,-170.0,13,08:30,-160.0,-80.0,-20.0
09:00,-70.0,87,09:00,-161.0,-80.0,-20.0
11:20,20.0,7,11:20,-180.0,-100.0,0.0
07:50,-110.0,39,07:50,-150.0,-70.0,-20.0
07:40,-60.0,123,07:40,-140.0,-70.0,-20.0
07:10,10.0,5,07:10,-130.0,-60.0,-30.0
07:10,-90.0,29,07:10,-130.0,-60.0,-30.0
07:50,-50.0,97,07:50,-150.0,-70.0,-20.0
16:10,210.0,1,16:10,-240.0,-25.0,18.0
11:10,0.0,8,11:10,-190.0,-100.0,-10.0
09:50,-50.0,52,09:50,-180.0,-80.0,-20.0
09:50,-70.0,73,09:50,-180.0,-80.0,-20.0
07:20,-70.0,55,07:20,-140.0,-60.0,-20.0
08:00,-130.0,43,08:00,-160.0,-70.0,-20.0
09:00,-110.0,52,09:00,-161.0,-80.0,-20.0
09:00,-100.0,52,09:00,-161.0,-80.0,-20.0
11:10,-40.0,26,11:10,-190.0,-100.0,-10.0
08:20,-80.0,82,08:20,-165.0,-80.0,-20.0
08:10,-100.0,56,08:10,-150.0,-80.0,-20.0
10:00,-120.0,37,10:00,-170.0,-90.0,-10.0
10:30,-130.0,32,10:30,-181.0,-90.0,-10.0
09:30,10.0,10,09:30,-180.0,-80.0,-20.0
10:50,-160.0,18,10:50,-180.0,-90.0,-10.0
10:50,-130.0,28,10:50,-180.0,-90.0,-10.0
08:20,-70.0,94,08:20,-165.0,-80.0,-20.0
09:10,-140.0,51,09:10,-180.0,-90.0,-20.0
08:00,-100.0,48,08:00,-160.0,-70.0,-20.0
09:10,20.0,11,09:10,-180.0,-90.0,-20.0
09:40,-110.0,46,09:40,-170.0,-90.0,-20.0
10:00,-70.0,56,10:00,-170.0,-90.0,-10.0
07:00,-80.0,43,07:00,-130.0,-60.0,-20.0
11:30,-230.0,6,11:30,-190.0,-100.0,-10.0
11:30,-70.0,25,11:30,-190.0,-100.0,-10.0
10:30,-140.0,22,10:30,-181.0,-90.0,-10.0
09:50,-60.0,64,09:50,-180.0,-80.0,-20.0
10:00,-30.0,29,10:00,-170.0,-90.0,-10.0
09:00,-230.0,7,09:00,-161.0,-80.0,-20.0
08:00,-80.0,64,08:00,-160.0,-70.0,-20.0
10:40,-160.0,26,10:40,-180.0,-100.0,-24.0
09:10,-60.0,57,09:10,-180.0,-90.0,-20.0
08:10,-120.0,50,08:10,-150.0,-80.0,-20.0
10:50,-190.0,9,10:50,-180.0,-90.0,-10.0
07:40,-90.0,63,07:40,-140.0,-70.0,-20.0
07:50,-240.0,17,07:50,-150.0,-70.0,-20.0
10:20,-80.0,41,10:20,-180.0,-90.0,-10.0
11:20,-40.0,17,11:20,-180.0,-100.0,0.0
06:00,-30.0,28,06:00,-80.0,-40.0,-20.0
06:40,-240.0,2,06:40,-100.0,-50.0,-20.0
10:30,-20.0,22,10:30,-181.0,-90.0,-10.0
10:30,-90.0,32,10:30,-181.0,-90.0,-10.0
11:40,-240.0,15,11:40,-190.0,-100.0,-10.0
13:00,-110.0,6,13:00,-180.0,-90.0,20.0
07:40,-170.0,8,07:40,-140.0,-70.0,-20.0
08:00,-50.0,110,08:00,-160.0,-70.0,-20.0
10:40,-120.0,31,10:40,-180.0,-100.0,-24.0
06:10,-70.0,9,06:10,-90.0,-40.0,-20.0
08:40,-70.0,85,08:40,-160.0,-80.0,-20.0
08:40,-230.0,11,08:40,-160.0,-80.0,-20.0
07:50,-80.0,59,07:50,-150.0,-70.0,-20.0
11:20,-100.0,28,11:20,-180.0,-100.0,0.0
10:50,-180.0,17,10:50,-180.0,-90.0,-10.0
08:50,-120.0,65,08:50,-160.0,-80.0,-20.0
06:50,-80.0,39,06:50,-120.0,-60.0,-20.0
04:50,-20.0,6,04:50,-22.0,-20.0,-10.0
12:10,-60.0,14,12:10,-190.0,-100.0,-10.0
10:00,-240.0,24,10:00,-170.0,-90.0,-10.0
06:20,-70.0,14,06:20,-90.0,-40.0,-20.0
09:40,-140.0,34,09:40,-170.0,-90.0,-20.0
09:20,30.0,8,09:20,-180.0,-90.0,-20.0
08:20,-10.0,24,08:20,-165.0,-80.0,-20.0
07:30,-40.0,78,07:30,-140.0,-70.0,-20.0
08:40,-100.0,61,08:40,-160.0,-80.0,-20.0
09:40,-130.0,42,09:40,-170.0,-90.0,-20.0
07:10,-120.0,10,07:10,-130.0,-60.0,-30.0
07:20,-30.0,54,07:20,-140.0,-60.0,-20.0
11:40,150.0,2,11:40,-190.0,-100.0,-10.0
08:10,-110.0,55,08:10,-150.0,-80.0,-20.0
10:20,20.0,12,10:20,-180.0,-90.0,-10.0
11:50,0.0,4,11:50,-180.0,-100.0,-3.0
09:10,-190.0,20,09:10,-180.0,-90.0,-20.0
07:40,-120.0,38,07:40,-140.0,-70.0,-20.0
14:00,60.0,1,14:00,-210.0,-115.0,0.0
07:10,-240.0,12,07:10,-130.0,-60.0,-30.0
06:50,-30.0,56,06:50,-120.0,-60.0,-20.0
07:30,-160.0,10,07:30,-140.0,-70.0,-20.0
11:10,-50.0,17,11:10,-190.0,-100.0,-10.0
11:10,-90.0,26,11:10,-190.0,-100.0,-10.0
10:40,-130.0,25,10:40,-180.0,-100.0,-24.0
09:50,-150.0,40,09:50,-180.0,-80.0,-20.0
08:40,70.0,3,08:40,-160.0,-80.0,-20.0
10:40,-80.0,44,10:40,-180.0,-100.0,-24.0
07:20,-40.0,61,07:20,-140.0,-60.0,-20.0
08:30,-20.0,57,08:30,-160.0,-80.0,-20.0
07:30,-100.0,27,07:30,-140.0,-70.0,-20.0
