bronx_pace_bkt,pace_diff_bkt,runners,bronx_pace_bkt_1,p10,p50,p90
11:30,20,1,11:30,-190,-100,-10
07:00,-160,8,07:00,-130,-60,-20
08:50,-160,26,08:50,-160,-80,-20
07:30,-20,44,07:30,-140,-70,-20
13:10,-20,9,13:10,-180,-90,-20
09:50,-60,64,09:50,-180,-80,-20
09:20,80,3,09:20,-180,-90,-20
07:10,-190,2,07:10,-130,-60,-30
08:20,-50,82,08:20,-165,-80,-20
11:40,0,4,11:40,-190,-100,-10
07:10,-30,46,07:10,-130,-60,-30
10:20,-50,54,10:20,-180,-90,-10
13:00,-30,8,13:00,-178,-90,28
09:40,-20,36,09:40,-170,-90,-20
08:50,-50,63,08:50,-160,-80,-20
10:00,-110,42,10:00,-170,-90,-10
13:00,-90,12,13:00,-178,-90,28
09:20,-140,40,09:20,-180,-90,-20
10:10,-170,15,10:10,-180,-90,-20
10:00,-90,47,10:00,-170,-90,-10
06:20,-40,39,06:20,-90,-40,-20
09:50,-250,3,09:50,-180,-80,-20
11:10,-150,10,11:10,-190,-100,-10
10:50,-120,28,10:50,-180,-90,-10
07:30,20,4,07:30,-140,-70,-20
10:10,20,11,10:10,-180,-90,-20
08:30,-170,13,08:30,-160,-80,-20
08:00,-20,52,08:00,-160,-70,-20
06:30,-50,32,06:30,-110,-50,-20
09:20,-50,58,09:20,-180,-90,-20
11:10,-90,26,11:10,-190,-100,-10
11:00,-140,24,11:00,-190,-100,-10
11:20,-10,4,11:20,-180,-100,0
11:40,-170,11,11:40,-190,-100,-10
10:30,-110,42,10:30,-181,-90,-10
08:10,-120,50,08:10,-150,-80,-20
09:20,120,2,09:20,-180,-90,-20
09:30,-120,38,09:30,-180,-80,-20
08:40,-80,80,08:40,-160,-80,-20
09:10,-170,15,09:10,-180,-90,-20
08:00,-200,7,08:00,-160,-70,-20
08:20,-20,61,08:20,-165,-80,-20
12:50,0,5,12:50,-200,-100,20
07:20,-70,55,07:20,-140,-60,-20
11:00,-30,16,11:00,-190,-100,-10
08:10,-100,56,08:10,-150,-80,-20
09:10,10,10,09:10,-180,-90,-20
08:10,-10,29,08:10,-150,-80,-20
10:40,-120,31,10:40,-180,-100,-24
06:40,0,5,06:40,-100,-50,-20
10:00,-10,19,10:00,-170,-90,-10
10:50,-50,36,10:50,-180,-90,-10
08:00,-130,43,08:00,-160,-70,-20
12:40,-20,4,12:40,-180,-80,42
09:10,-100,62,09:10,-180,-90,-20
09:30,-190,22,09:30,-180,-80,-20
08:20,-110,62,08:20,-165,-80,-20
07:20,-100,32,07:20,-140,-60,-20
12:30,-150,5,12:30,-180,-90,20
06:30,-10,16,06:30,-110,-50,-20
06:00,-30,28,06:00,-80,-40,-20
12:30,-130,9,12:30,-180,-90,20
07:00,-140,10,07:00,-130,-60,-20
07:10,-120,10,07:10,-130,-60,-30
10:30,-80,45,10:30,-181,-90,-10
10:10,-20,19,10:10,-180,-90,-20
11:30,-130,19,11:30,-190,-100,-10
09:30,-80,75,09:30,-180,-80,-20
13:40,-70,2,13:40,-199,-80,107
12:00,-40,12,12:00,-204,-100,10
12:00,-20,8,12:00,-204,-100,10
10:40,-100,38,10:40,-180,-100,-24
11:20,-40,17,11:20,-180,-100,0
12:30,-80,16,12:30,-180,-90,20
11:30,-60,18,11:30,-190,-100,-10
11:10,-20,11,11:10,-190,-100,-10
11:30,-70,25,11:30,-190,-100,-10
06:30,-40,31,06:30,-110,-50,-20
08:40,-170,23,08:40,-160,-80,-20
09:00,-30,42,09:00,-161,-80,-20
11:00,-20,20,11:00,-190,-100,-10
08:50,-60,69,08:50,-160,-80,-20
08:20,20,6,08:20,-165,-80,-20
12:20,0,5,12:20,-200,-100,-10
06:40,-70,26,06:40,-100,-50,-20
07:00,-20,30,07:00,-130,-60,-20
10:20,-160,21,10:20,-180,-90,-10
10:00,-120,37,10:00,-170,-90,-10
07:40,-30,55,07:40,-140,-70,-20
12:50,-400,1,12:50,-200,-100,20
06:20,-50,21,06:20,-90,-40,-20
10:40,-20,15,10:40,-180,-100,-24
10:30,40,7,10:30,-181,-90,-10
09:30,-130,45,09:30,-180,-80,-20
08:40,-50,76,08:40,-160,-80,-20
11:30,-230,6,11:30,-190,-100,-10
09:20,0,14,09:20,-180,-90,-20
09:00,-70,87,09:00,-161,-80,-20
11:30,-90,19,11:30,-190,-100,-10
07:30,-160,10,07:30,-140,-70,-20
08:50,-80,104,08:50,-160,-80,-20
14:20,80,1,14:20,-179,-90,30
07:10,-80,43,07:10,-130,-60,-30
10:20,-140,32,10:20,-180,-90,-10
10:00,-60,47,10:00,-170,-90,-10
09:00,-50,87,09:00,-161,-80,-20
11:40,-70,18,11:40,-190,-100,-10
05:30,-110,1,05:30,-58,-30,-10
05:30,-20,7,05:30,-58,-30,-10
11:20,-140,14,11:20,-180,-100,0
05:50,-90,2,05:50,-72,-30,-18
09:00,-110,52,09:00,-161,-80,-20
11:20,-80,20,11:20,-180,-100,0
13:10,120,2,13:10,-180,-90,-20
09:00,-100,52,09:00,-161,-80,-20
09:30,-40,59,09:30,-180,-80,-20
12:10,70,3,12:10,-190,-100,-10
09:40,-230,8,09:40,-170,-90,-20
11:00,-210,15,11:00,-190,-100,-10
07:50,-170,16,07:50,-150,-70,-20
10:20,-80,41,10:20,-180,-90,-10
09:40,-140,34,09:40,-170,-90,-20
10:40,-160,26,10:40,-180,-100,-24
09:20,-70,74,09:20,-180,-90,-20
