bronx_pace_bkt,pace_diff_bkt,runners,bronx_pace_bkt_1,p10,p50,p90
07:30,-30.0,71,07:30,-70.0,-10.0,20.0
12:20,-50.0,29,12:20,-90.0,-10.0,70.0
13:00,150.0,2,13:00,-80.0,-10.0,91.0
10:20,-240.0,13,10:20,-85.0,-20.0,40.0
08:40,-10.0,216,08:40,-80.0,-20.0,20.0
09:40,0.0,203,09:40,-90.0,-20.0,30.0
08:40,-60.0,94,08:40,-80.0,-20.0,20.0
10:50,-90.0,29,10:50,-84.0,-20.0,40.0
09:40,-80.0,77,09:40,-90.0,-20.0,30.0
12:10,-10.0,50,12:10,-80.0,-10.0,60.0
11:30,-50.0,49,11:30,-90.0,-10.0,50.0
08:30,-10.0,222,08:30,-80.0,-20.0,20.0
09:30,-200.0,4,09:30,-84.0,-20.0,30.0
10:30,0.0,120,10:30,-90.0,-20.0,40.0
08:10,-20.0,170,08:10,-80.0,-20.0,20.0
09:20,40.0,68,09:20,-80.0,-20.0,30.0
12:00,40.0,29,12:00,-90.0,-10.0,60.0
07:30,0.0,99,07:30,-70.0,-10.0,20.0
11:00,-10.0,119,11:00,-90.0,-20.0,50.0
07:10,-50.0,17,07:10,-70.0,-10.0,20.0
07:00,-100.0,4,07:00,-70.0,-20.0,20.0
08:10,-70.0,39,08:10,-80.0,-20.0,20.0
11:20,-110.0,22,11:20,-90.0,-10.0,50.0
11:10,-70.0,53,11:10,-95.0,-10.0,50.0
14:20,-110.0,1,14:20,-70.0,0.0,100.0
11:50,-30.0,45,11:50,-90.0,-10.0,60.0
08:50,40.0,55,08:50,-80.0,-20.0,20.0
09:00,-90.0,61,09:00,-90.0,-20.0,20.0
12:40,-40.0,32,12:40,-90.0,-10.0,90.0
11:00,-240.0,11,11:00,-90.0,-20.0,50.0
11:40,-10.0,54,11:40,-90.0,-10.0,60.0
07:50,-120.0,5,07:50,-80.0,-20.0,20.0
06:40,-20.0,37,06:40,-60.0,-10.0,10.0
11:30,10.0,58,11:30,-90.0,-10.0,50.0
10:40,-70.0,59,10:40,-80.0,-20.0,40.0
07:10,-40.0,30,07:10,-70.0,-10.0,20.0
09:20,-90.0,35,09:20,-80.0,-20.0,30.0
07:30,10.0,86,07:30,-70.0,-10.0,20.0
11:40,-80.0,29,11:40,-90.0,-10.0,60.0
07:50,-20.0,151,07:50,-80.0,-20.0,20.0
10:50,-110.0,23,10:50,-84.0,-20.0,40.0
12:00,30.0,36,12:00,-90.0,-10.0,60.0
10:00,40.0,62,10:00,-80.0,-20.0,40.0
09:50,-180.0,7,09:50,-80.0,-20.0,30.0
10:30,10.0,111,10:30,-90.0,-20.0,40.0
08:40,0.0,241,08:40,-80.0,-20.0,20.0
07:40,-70.0,32,07:40,-70.0,-10.0,20.0
09:50,-80.0,85,09:50,-80.0,-20.0,30.0
11:10,-80.0,31,11:10,-95.0,-10.0,50.0
12:10,-70.0,25,12:10,-80.0,-10.0,60.0
11:20,50.0,28,11:20,-90.0,-10.0,50.0
11:10,20.0,70,11:10,-95.0,-10.0,50.0
10:40,-90.0,32,10:40,-80.0,-20.0,40.0
10:30,20.0,94,10:30,-90.0,-20.0,40.0
09:10,-150.0,7,09:10,-80.0,-20.0,30.0
08:10,-210.0,2,08:10,-80.0,-20.0,20.0
07:40,-10.0,157,07:40,-70.0,-10.0,20.0
08:40,20.0,125,08:40,-80.0,-20.0,20.0
12:10,40.0,21,12:10,-80.0,-10.0,60.0
07:40,30.0,34,07:40,-70.0,-10.0,20.0
07:40,20.0,79,07:40,-70.0,-10.0,20.0
12:00,-100.0,14,12:00,-90.0,-10.0,60.0
10:20,0.0,139,10:20,-85.0,-20.0,40.0
07:40,-80.0,24,07:40,-70.0,-10.0,20.0
08:30,-40.0,110,08:30,-80.0,-20.0,20.0
10:40,-40.0,116,10:40,-80.0,-20.0,40.0
09:40,20.0,123,09:40,-90.0,-20.0,30.0
10:40,-30.0,122,10:40,-80.0,-20.0,40.0
08:30,-70.0,60,08:30,-80.0,-20.0,20.0
08:30,-120.0,11,08:30,-80.0,-20.0,20.0
09:40,10.0,152,09:40,-90.0,-20.0,30.0
07:00,-10.0,61,07:00,-70.0,-20.0,20.0
08:10,-80.0,36,08:10,-80.0,-20.0,20.0
07:30,-70.0,23,07:30,-70.0,-10.0,20.0
